BFS;FREQUENCY;SUM_Shape_Length
2303;31;2904.993177
2304;59;8725.676544
2305;19;1486.36266
2306;180;25997.55158
2307;42;3115.8658
2308;67;10231.8355
2309;45;5106.727143
2321;1;687.376486
2325;58;5136.886185
2328;28;3050.269925
2335;19;2983.678545
2336;22;4003.445354
2338;12;3196.272208
2401;8;1634.105738
2402;15;1624.010958
2403;38;4093.653285
2404;18;2404.437831
2405;23;1734.054192
2406;3;2754.761608
2407;67;9804.417391
2408;47;4142.615949
2421;15;1442.334168
2422;95;8378.625405
2424;31;4588.042028
2425;25;3897.596131
2426;16;2666.659151
2427;15;2092.996985
2428;81;10452.48453
2430;66;7531.608896
2445;22;2447.819691
2455;35;3220.111371
2456;18;2234.899672
2457;21;2407.421314
2461;32;3558.272398
2464;40;3776.414616
2465;36;4451.652091
2471;26;3093.868913
2473;72;8053.482652
2474;20;3115.934262
2475;29;3090.496617
2476;8;798.64899
2477;47;6191.997157
2479;34;4064.614234
2480;58;5548.099073
2481;28;5166.214127
2491;16;1401.412444
2495;30;3109.831474
2497;8;2181.070365
2499;59;6732.911276
2500;84;8468.198846
2501;17;2332.009597
2503;48;4677.175838
2511;74;7264.387204
2513;132;12749.56763
2514;16;1357.388842
2516;26;2016.869831
2517;55;4060.705632
2518;20;1556.867788
2519;63;3138.502105
2523;3;463.710496
2524;10;1113.41488
2525;3;657.196332
2526;35;4062.675241
2527;66;5274.554345
2528;19;1494.983494
2530;42;3572.75831
2532;35;3826.805934
2534;137;7593.946513
2535;42;3753.070551
2542;33;8029.962336
2543;26;7028.939172
2544;31;3710.604609
2545;21;2832.988287
2546;91;10850.63206
2548;23;1673.687697
2550;3;132.922015
2553;2;2328.551629
2554;45;5860.707536
2555;5;74.637543
2556;44;11589.36917
2571;39;6202.466839
2572;9;3097.749237
2573;10;3783.748678
2574;6;1341.717147
2575;22;3588.013544
2576;8;874.565979
2578;21;2964.409406
2579;24;1860.150594
2580;11;1477.496469
2581;134;12912.41043
2582;7;580.074755
2583;44;3072.561478
2585;3;702.04787
2586;9;1839.556146
2601;143;9263.553982
2611;35;5338.37718
2612;62;9279.321895
2613;32;5059.818355
2614;1;192.970948
2615;28;4309.063799
2617;13;2170.961821
2619;74;13047.13968
2621;86;12167.69779
2701;692;45245.79115
2702;1;345.175053
2703;24;2965.288168
2761;63;7195.5219
2762;28;5494.450915
2763;77;6696.491785
2765;30;1785.928976
2766;45;3912.194385
2767;27;1477.164448
2768;34;2725.975057
2769;121;10311.00246
2770;126;12654.83396
2771;43;4995.700415
2773;24;3333.874413
2775;36;2740.137397
2782;31;3462.170817
2783;3;827.053974
2785;27;5633.321802
2786;27;3838.288754
2787;72;6904.277396
2788;83;8892.107684
2789;14;2852.004932
2790;1;42.055249
2791;4;903.28105
2792;1;197.375151
2793;56;4306.056395
2821;2;1969.400647
2822;23;2024.46839
2823;63;7388.587581
2824;16;1862.203885
2825;12;1231.717231
2826;1;483.938238
2828;29;2199.009914
2829;135;8507.828024
2831;104;7497.950873
2832;11;383.584036
2833;1;182.486872
2834;5;1949.870458
2841;17;2055.914193
2842;26;3265.551419
2843;1;893.953065
2845;4;1290.116034
2846;28;1777.60541
2848;23;2307.639096
2849;21;1777.256721
2852;11;2653.54062
2855;30;4984.971108
2856;46;4084.407246
2858;23;3353.740373
2859;1;1000.828761
2861;48;5532.343271
2864;5;645.028283
2867;3;1457.30135
2869;1;202.472354
2881;7;1265.678106
2883;58;7554.521755
2885;17;4184.587478
2886;61;6064.248584
2887;15;3051.863153
2888;96;10896.73603
2889;18;2408.80996
2890;5;680.268397
2891;27;3266.030448
2892;31;1903.168678
2893;36;6808.446025
2894;13;2523.321878
2895;61;6852.626775
2901;41;3433.734151
2903;45;6814.763726
2904;71;12806.64767
2915;3;800.304473
2920;49;7464.265761
2932;77;8990.157743
2937;144;10949.61761
2938;5;372.889367
2939;234;20535.35906
2952;13;4606.541052
2953;3;716.630902
2961;26;1821.923441
2962;53;5432.768028
2963;55;5810.272986
2964;116;7692.670923
2971;69;5662.894417
2972;16;1064.29595
2973;30;2886.778559
2974;66;9845.414468
3001;145;11189.56722
3002;78;7846.184352
3003;26;1584.418322
3004;81;8714.767444
3005;89;8168.725674
3006;100;9617.569552
3007;4;1341.209281
3022;94;9992.373122
3023;48;6144.306916
3024;77;9549.163098
3025;103;11565.67348
3031;7;873.524042
3032;66;6423.985209
3033;16;991.715731
3034;68;7428.087824
3035;14;1625.258666
3036;20;2477.310964
3037;72;6088.280135
3038;68;5649.876329
3101;145;10703.16985
3102;72;7234.207677
3104;103;15615.49979
3111;107;13555.21845
3112;127;15141.36859
3201;40;3359.293302
3202;30;3527.764285
3203;540;40962.32445
3204;127;11743.97827
3211;13;1499.448645
3213;59;6989.567916
3214;27;4876.593232
3215;92;6747.507334
3216;104;9250.31436
3217;62;4652.214198
3218;14;1241.223626
3231;89;12278.23006
3232;25;3193.799335
3233;21;2527.27666
3234;48;7588.061537
3235;71;5994.176848
3236;59;7846.424228
3237;123;10690.80852
3238;46;4767.370642
3251;306;31570.40027
3252;31;1775.594571
3253;11;1748.775108
3254;166;26918.55241
3255;12;1528.690785
3256;39;7136.257886
3271;187;12831.5067
3272;38;5491.37047
3273;167;15958.82454
3274;122;17273.6145
3275;97;11701.83002
3276;104;16154.73615
3291;45;7892.634993
3292;33;5368.941394
3293;76;8708.988483
3295;81;8599.169092
3296;93;10417.0276
3297;16;2936.544621
3298;86;8130.130142
3312;28;3928.229077
3313;55;8754.959108
3315;90;12847.30151
3316;18;2524.454868
3338;34;4194.806853
3339;43;4988.642364
3340;359;37097.35536
3341;91;8600.764827
3342;187;33997.73314
3352;81;9306.471159
3359;108;12778.97953
3360;124;14225.01505
3374;50;2179.762859
3379;207;25557.34205
3392;12;6794.023318
3393;122;17296.47885
3394;74;10827.16047
3395;120;14288.01428
3396;122;22747.94038
3401;79;9465.553298
3402;88;5302.222971
3405;56;7267.914985
3407;25;2778.369334
3408;107;10819.13803
3422;28;4870.255688
3423;7;4972.673063
3424;50;7328.987289
3426;14;5127.918909
3427;322;21829.72512
3441;6;704.129057
3442;7;671.051264
3443;172;17513.84705
3444;26;5149.327072
3506;23;4806.454462
3513;1;67.887413
3542;76;12321.52139
3544;151;24734.69309
3551;1;163.450589
3561;3;1233.754051
3575;2;167.69418
3618;2;299.755226
3619;70;12574.90871
3633;1;847.703009
3637;27;4512.804478
3638;2;95.78152
3640;56;6948.834991
3661;19;2699.223891
3668;65;7809.407521
3672;63;12559.87254
3673;20;3405.572568
3695;47;7852.570923
3701;62;9604.9008
3711;16;1472.06585
3712;43;4999.485566
3714;197;36742.77177
3715;10;687.411396
3721;65;8570.538141
3722;100;16730.49942
3731;36;3629.056384
3732;1;86.556438
3733;28;6266.161936
3746;211;41513.29102
3752;3;5119.673405
3762;176;27326.51977
3764;77;18090.14043
3781;18;2980.437489
3782;24;2864.715238
3783;4;1214.161226
3784;11;990.642845
3785;52;12962.00211
3786;72;11591.58845
3787;81;13959.03268
3788;57;9796.604834
3789;47;7145.356475
3790;28;5532.082002
3791;15;4226.079723
3792;21;3133.293915
3821;35;6166.262692
3822;171;25289.85251
3823;42;5766.345348
3831;22;3486.556294
3832;60;4717.320624
3834;20;2677.183028
3835;33;3836.201344
3847;156;23660.14095
3851;11;2965.43127
3861;16;4935.538074
3863;46;4365.616818
3871;47;9107.206542
3881;1;360.601552
3882;15;1741.791142
3891;12;2067.188314
3901;286;27781.24264
3911;4;205.471383
3921;5;6687.526091
3945;79;8437.562298
3947;81;9988.595032
3951;29;2376.703806
3952;37;2488.630572
3953;67;9230.989721
3954;45;3959.577882
3955;92;12258.7046
3961;23;2601.55442
3962;54;6077.131836
3972;12;1931.490135
3981;37;8601.994028
3982;113;13929.03515
3983;101;16948.11508
3985;42;5906.746421
3986;95;14724.47143
3987;51;6612.833632
4001;182;12702.12457
4002;10;2346.112412
4003;1;233.320642
4006;93;9258.713193
4007;12;1127.747928
4008;16;2159.673284
4009;21;2596.887979
4010;44;3392.151587
4012;193;15125.59554
4013;16;1387.118202
4021;173;14454.05401
4023;32;1802.233319
4024;45;7330.570449
4026;8;400.050549
4027;52;5494.16744
4028;1;110.738051
4029;2;824.273458
4030;14;912.698762
4031;3;1391.656166
4032;41;2581.381974
4033;73;5611.890055
4034;53;4891.699016
4035;5;1514.927065
4038;9;402.388874
4039;3;855.527689
4040;128;12038.66346
4042;7;862.704529
4044;30;2906.101808
4045;140;10623.1918
4046;46;4824.998467
4047;56;4643.137705
4048;76;10759.30318
4049;22;3598.066819
4061;1;857.134981
4062;13;967.030427
4063;102;9688.071127
4065;4;362.59835
4066;6;1190.324075
4067;21;1997.464541
4068;4;307.949471
4071;3;461.48548
4072;37;3245.861255
4073;3;605.918569
4074;13;1765.218295
4075;3;86.793084
4076;39;5582.137839
4077;32;2951.944448
4079;3;84.559303
4080;34;4924.874607
4082;16;3492.573973
4083;2;7.777351
4091;48;4694.304296
4092;2;555.499173
4093;36;4467.036468
4095;165;14768.99595
4100;2;496.351636
4104;13;4194.685468
4107;50;5285.153696
4110;11;785.598501
4111;6;1851.779198
4112;8;1789.094047
4117;1;558.417185
4120;10;2575.519943
4121;52;6933.399365
4122;9;2108.763034
4123;79;7473.052954
4124;72;8173.060779
4125;19;2583.625929
4131;5;1100.940901
4132;1;221.198236
4134;1;685.12985
4135;3;657.369405
4136;2;145.572973
4137;9;1611.147911
4139;49;3519.296699
4140;21;2489.484053
4141;53;4195.284814
4142;37;5715.471134
4143;2;141.298475
4144;54;4777.496943
4145;21;780.619155
4146;71;8742.783513
4147;32;2578.193788
4161;52;5196.070498
4163;37;2808.523754
4165;2;399.649089
4169;40;5623.805784
4170;37;5119.746916
4172;12;2198.858179
4175;28;2378.69429
4176;17;3179.912991
4177;8;1973.933658
4181;2;417.937162
4183;11;1086.395083
4184;27;5317.716292
4185;65;6625.194396
4186;1;42.071263
4191;1;502.932984
4193;4;492.183466
4194;6;203.38666
4195;15;2312.746946
4196;3;497.243269
4197;10;1251.78104
4198;3;161.212813
4199;3;1100.660334
4200;36;2441.728442
4201;157;11127.49825
4202;61;4403.240608
4203;35;4521.983276
4204;36;2690.082149
4205;54;2983.180082
4206;16;747.380834
4207;59;3828.374459
4208;92;7522.183755
4209;56;6166.860974
4210;56;4159.22211
4221;1;525.725813
4222;41;4861.769159
4223;3;779.683786
4224;42;6192.986172
4227;13;1630.624421
4228;14;1355.651404
4229;4;314.316723
4230;3;350.503421
4231;18;2802.753108
4232;12;1747.028545
4233;3;344.253112
4234;98;9111.501727
4235;32;3595.717865
4236;71;5600.507806
4237;16;3054.864898
4238;24;2995.367085
4239;118;13742.96674
