BFS;FREQUENCY;SUM_Shape_Length
5648;71;3910.81285
5649;14;1306.609888
5650;6;1052.844632
5652;22;2231.044553
5653;26;3413.887205
5654;26;4449.75162
5655;3;594.152904
5656;4;890.566121
5661;25;2804.753779
5663;25;2694.086017
5665;6;1459.306732
5669;34;4661.87068
5675;101;15010.56233
5678;105;15731.66276
5690;25;4013.743369
5693;53;7330.786256
5701;19;2652.088113
5702;18;2950.567663
5703;66;14496.82752
5704;12;1112.679705
5705;16;1312.920938
5706;24;1915.804009
5707;19;1975.127704
5708;12;2063.234915
5710;29;2841.523006
5711;6;1272.608083
5712;51;4689.199092
5713;33;5286.814076
5714;3;566.851285
5715;26;2304.315032
5716;9;1423.280937
5717;45;4910.410435
5718;40;4512.400801
5719;27;2142.953576
5720;12;855.181946
5721;58;5281.08995
5722;12;2316.263429
5723;43;3987.364768
5724;128;9603.921064
5725;41;3748.231482
5728;1;23.440682
5729;37;2276.99019
5730;11;1832.7986
5731;18;2044.310609
5732;18;1046.626892
5741;20;2704.506232
5742;25;2744.742408
5744;34;4070.280956
5745;102;18924.71209
5746;14;4043.278804
5747;3;409.336706
5748;23;3801.276657
5749;83;9914.623469
5750;26;4975.493296
5752;17;786.824815
5755;27;3990.539134
5757;68;5615.261653
5760;25;3234.082417
5761;38;4952.840398
5762;9;1259.643191
5763;32;3609.630698
5764;63;7974.869837
5766;31;2970.813269
5790;9;1198.032893
5799;27;3106.27741
5803;41;5751.235474
5805;100;12424.89751
5806;19;1836.178494
5813;19;3213.61993
5816;47;6829.451211
5819;9;3236.407131
5822;104;9588.435596
5831;59;6746.544288
5841;188;24788.39722
5842;24;6394.417834
5843;64;7416.093735
5851;21;2644.866674
5853;16;2061.203963
5856;6;914.941466
5857;42;5221.720663
5858;25;2587.859611
5859;32;2818.954938
5860;38;3733.431492
5861;32;2042.391792
5862;11;713.659038
5863;8;769.443039
5871;33;3743.81881
5872;124;17846.58789
5873;55;7509.168468
5882;36;5908.843602
5883;27;2138.560448
5884;85;11740.35531
5885;19;2480.615084
5886;96;5913.963825
5889;32;2780.422521
5890;47;3161.771208
5891;19;2275.942042
5892;4;138.312654
5909;19;10101.26453
5911;1;391.917426
5914;38;5654.316412
5919;13;2922.60688
5922;4;142.609392
5924;22;2023.1634
5929;32;2804.578527
5930;13;1845.58142
5931;9;2081.752908
5938;236;17433.30466
5939;27;4473.747006
6002;60;6874.171241
6007;40;4573.428638
6010;2;289.504035
6021;44;4380.632026
6022;77;7675.15172
6023;53;4019.2029
6024;3;1414.093443
6025;53;4003.848571
6037;42;15026.12647
6056;73;11730.65752
6076;94;28600.79316
6077;87;14443.24221
6082;85;13342.40279
6110;143;13041.91101
6113;44;4848.862755
6116;34;3644.032394
6118;13;1637.942122
6119;12;2849.707995
6133;136;15240.64645
6135;49;3845.978281
6136;111;10739.72614
6137;1;98.477964
6139;7;1068.776478
6140;71;7627.530049
6151;3;1679.430804
6152;169;23694.30892
6153;92;8575.743259
6154;68;9989.686711
6155;58;8053.952965
6156;6;5486.654871
6157;6;3734.690493
6158;71;6238.097489
6159;85;16003.61146
6172;21;3377.405104
6173;23;2776.282249
6177;33;7338.461491
6181;3;209.527847
6198;29;2851.962512
6199;42;5322.638734
6203;37;3504.961823
6204;6;1421.681505
6212;4;476.226086
6213;21;4170.544436
6215;30;4033.575668
6217;120;8864.12438
6219;11;2125.686001
6220;1;76.896908
6238;7;1652.533325
6240;27;3932.811601
6246;67;4411.147545
6248;176;21579.61545
6253;158;19233.17504
6254;90;8766.532179
6261;37;5226.944195
6263;57;5720.218215
6265;172;16949.89365
6266;302;29592.98147
6281;33;2098.130518
6286;28;3005.305392
6297;37;3556.623188
6404;156;15944.41429
6408;71;5232.131225
6413;2;513.073892
6416;85;9225.877558
6417;156;15793.01502
6421;307;35490.62102
6423;51;11443.51023
6432;64;12890.38677
6433;23;4461.359661
6434;10;1954.740558
6435;44;5864.70188
6436;91;12040.44643
6437;32;5075.416716
6451;23;2305.288118
6452;45;7602.806798
6453;27;4149.856158
6454;39;4152.24836
6455;2;70.81811
6458;399;35849.46416
6459;93;7536.274157
6461;117;8808.842733
6487;151;24524.29739
6504;48;6929.573863
6511;50;13962.31914
6512;276;50124.69446
6602;25;3009.139933
6605;24;4455.324407
6606;82;7803.868564
6607;143;10403.83114
6608;48;3383.527171
6610;56;7694.509325
6612;106;7236.189375
6613;21;1326.946823
6614;43;3144.554512
6615;50;6304.638235
6616;97;5371.536839
6617;127;9871.762093
6618;49;3290.936394
6619;15;946.593218
6621;643;34402.98389
6622;61;6626.551919
6623;30;3578.800297
6624;8;448.770227
6625;23;2126.746241
6626;46;6640.931926
6628;214;12845.11525
6629;69;9233.506087
6630;97;9703.943208
6631;79;4253.673187
6632;28;2578.100559
6633;38;3901.968696
6634;105;6727.061137
6635;21;2381.105521
6636;20;3940.61473
6638;8;662.159908
6640;57;5106.926293
6642;63;4135.618411
6643;149;15029.62448
6644;126;10899.50139
6645;63;5071.686338
6702;3;483.701923
6703;6;2304.981285
6704;3;731.558742
6706;1;750.141912
6708;84;10251.29043
6709;12;1060.268029
6710;21;2882.037507
6711;155;12350.46951
6712;53;7190.282306
6715;9;5338.174023
6719;14;1521.990962
6724;27;4099.215905
6729;112;15472.72181
6730;2;978.045579
6741;16;3656.282255
6743;52;7863.418779
6745;16;3364.636312
6748;33;6644.287897
6751;11;1174.417364
6753;8;2523.697742
6754;1;60.549686
6757;73;7983.914153
6758;37;6225.098369
6771;34;5191.776726
6774;33;2591.938032
6778;37;5521.929063
6782;57;7082.069995
6783;17;2305.208527
6784;49;7322.160476
6785;12;3810.835235
6789;18;3556.532591
6792;31;4111.273006
6800;119;11580.82794
6807;51;7694.84091
6808;92;17408.70194
6809;70;11696.74492
6810;82;12445.35326
