GMDNR,GMDNAME_x,Stimmberechtigte,Abgegebene Stimmen,Beteiligung in %,Gültige Stimmzettel,Ja,Nein,Ja in %,GMDNAME_y,BZNR,KTNR,geometry
11,Ottenbach,1851,850,45.92,844,604,240,71.56,Ottenbach,101,1,"POLYGON ((2673832 1238522, 2673997 1238330, 2674192 1238467, 2674795 1236820, 2674799 1236245, 2674425 1236580, 2673947 1236037, 2672860 1235707, 2672925 1236195, 2672355 1236785, 2672093 1237726, 2671870 1238118, 2672139 1238229, 2672503 1237896, 2673045 1238340, 2673832 1238522))"
12,Rifferswil,749,384,51.27,381,283,98,74.28,Rifferswil,101,1,"POLYGON ((2680409 1235056, 2680489 1235030, 2681605 1233925, 2681397 1233817, 2681447 1232425, 2682055 1232441, 2682127 1232210, 2681246 1231965, 2681382 1231488, 2680924 1231563, 2680240 1232215, 2679875 1232137, 2679645 1232352, 2679156 1232381, 2679232 1232580, 2678435 1233230, 2678717 1233380, 2678455 1233578, 2678677 1233747, 2678250 1234035, 2679177 1234224, 2679384 1233871, 2679825 1233899, 2679754 1234129, 2680279 1234566, 2680409 1235056))"
13,Stallikon,2370,1060,44.73,1053,671,382,63.72,Stallikon,101,1,"POLYGON ((2680802 1237767, 2680539 1237741, 2679758 1238485, 2679735 1238325, 2679202 1238533, 2679069 1238116, 2678568 1238078, 2678520 1238545, 2678970 1239005, 2678782 1239450, 2678900 1240406, 2679000 1240587, 2679645 1240697, 2679240 1240802, 2678997 1241127, 2679157 1241727, 2679020 1241972, 2679127 1242688, 2678936 1242699, 2678950 1243405, 2677876 1244665, 2677850 1244897, 2678266 1245269, 2678670 1245397, 2679202 1245177, 2680084 1244256, 2680029 1244010, 2680370 1243399, 2680285 1241857, 2680477 1241585, 2681018 1240317, 2680807 1239956, 2680937 1239625, 2680772 1239270, 2681020 1238685, 2681037 1237938, 2680802 1237767))"
14,Wettswil am Albis,3421,1565,45.75,1552,1117,435,71.97,Wettswil am Albis,101,1,"POLYGON ((2677876 1244665, 2678950 1243405, 2678936 1242699, 2679127 1242688, 2679020 1241972, 2678567 1242045, 2678520 1242357, 2677616 1242414, 2677630 1242897, 2677261 1242705, 2676837 1243165, 2677310 1243325, 2677305 1243695, 2676865 1244162, 2676797 1244522, 2677288 1244859, 2677876 1244665))"
22,Benken (ZH),602,271,45.02,267,145,122,54.31,Benken (ZH),102,1,"POLYGON ((2690121 1277675, 2689947 1278016, 2690256 1279084, 2690113 1279174, 2690213 1279361, 2689749 1279556, 2691065 1279832, 2691460 1280282, 2692514 1280270, 2692374 1279111, 2692660 1278867, 2692534 1278571, 2692251 1278504, 2692420 1278217, 2691954 1277940, 2692106 1277695, 2691895 1277565, 2691780 1277795, 2691540 1277585, 2691568 1277340, 2691350 1277667, 2690863 1277529, 2690686 1277785, 2690631 1277352, 2690121 1277675))"
23,Berg am Irchel,435,264,60.69,259,138,121,53.28,Berg am Irchel,102,1,"POLYGON ((2685275 1269902, 2687527 1269712, 2688400 1269245, 2688706 1269107, 2688192 1268443, 2688420 1267714, 2688070 1266880, 2687755 1267036, 2687221 1266945, 2686452 1267809, 2685770 1267747, 2685787 1268227, 2684965 1268595, 2685275 1269902))"
24,Buch am Irchel,686,304,44.31,299,178,121,59.53,Buch am Irchel,102,1,"POLYGON ((2688706 1269107, 2689740 1268968, 2690255 1268382, 2690551 1268499, 2691092 1268195, 2691220 1267858, 2690915 1267782, 2691227 1266845, 2690892 1266970, 2690890 1266822, 2691412 1266426, 2691100 1265962, 2690647 1265797, 2690600 1265372, 2690252.7837000005 1265318.5075000003, 2690070 1264757, 2689687 1264847, 2689742 1265266, 2689023 1265860, 2688375 1265615, 2688087 1265960, 2687411 1266089, 2687518 1266236, 2687221 1266945, 2687755 1267036, 2688070 1266880, 2688420 1267714, 2688192 1268443, 2688706 1269107))"
25,Dachsen,1349,571,42.33,565,437,128,77.35,Dachsen,102,1,"POLYGON ((2688326 1279649, 2687915 1280265, 2688125 1280955, 2688411 1280921, 2688500 1280660, 2688817 1280816, 2689325 1279745, 2689749 1279556, 2690213 1279361, 2690113 1279174, 2690256 1279084, 2689947 1278016, 2689385 1278241, 2689353.995000001 1278750.2311999984, 2688326 1279649))"
26,Dorf,478,211,44.14,208,121,87,58.17,Dorf,102,1,"POLYGON ((2692475 1268658, 2691945 1268657, 2691913 1268379, 2691618 1268368, 2691608 1268144, 2691092 1268195, 2690551 1268499, 2690255 1268382, 2689740 1268968, 2689737 1269145, 2690092 1269267, 2689965 1269650, 2690136 1269682, 2690245 1270621, 2690676 1270677, 2690635 1270982, 2691121 1271080, 2691058 1271326, 2691735 1271489, 2691791 1271349, 2691733 1270696, 2692090 1270458, 2692260 1270109, 2692123 1269886, 2692324 1269666, 2692039 1269407, 2692473 1268736, 2692475 1268658))"
27,Feuerthalen,2271,884,38.93,877,646,231,73.66,Feuerthalen,102,1,"POLYGON ((2692489 1282308, 2692330 1281505, 2691649 1281532, 2690137 1282332, 2690037 1282427, 2690235 1282642, 2689875 1282658, 2689595.2775 1283137.5238000005, 2690465 1283355, 2691953 1282415, 2692489 1282308))"
28,Flaach,971,423,43.56,418,232,186,55.5,Flaach,102,1,"POLYGON ((2685275 1269902, 2685895 1270215, 2685665 1270975, 2685785 1271635, 2686095 1271995, 2686813 1272297, 2686922 1272202, 2687255 1272597, 2687892 1272342, 2688815 1272634, 2689180 1272250, 2689585 1272082, 2690117 1272185, 2690137 1271951, 2690364.3161999993 1271867.9050000012, 2690492 1271451, 2689660 1271227, 2689490 1271337, 2689335 1270880, 2689095 1270883, 2689112 1270627, 2688852 1270425, 2688882 1269705, 2688582 1269742, 2688400 1269245, 2687527 1269712, 2685275 1269902))"
29,Flurlingen,1009,456,45.19,453,355,98,78.37,Flurlingen,102,1,"POLYGON ((2689008 1281305, 2689265 1281635, 2689083 1283004, 2689595.2775 1283137.5238000005, 2689875 1282658, 2690235 1282642, 2690037 1282427, 2690137 1282332, 2691649 1281532, 2691209 1281396, 2691207 1281247, 2690123 1281289, 2689990 1281501, 2689218 1281145, 2689008 1281305))"
291,Andelfingen,1509,768,50.89,760,539,221,70.92,Andelfingen,102,1,"POLYGON ((2692625 1273555, 2693440 1272570, 2694694.2311999984 1272603.6537000015, 2694836 1272512, 2695135 1272415, 2695895 1272975, 2696245 1273485, 2696725 1272825, 2696255 1272585, 2696195 1272365, 2696385 1272265, 2696815.7787000015 1272499.5062999986, 2696803 1271963, 2696614 1272026, 2696569 1271757, 2696231 1271524, 2697473 1270230, 2697193 1269852, 2696650 1270033, 2696172 1270494, 2696005 1270353, 2695593 1270834, 2695572 1270089, 2695376 1270119, 2695314 1269812, 2695119 1269789, 2694830 1269244, 2694567 1269587, 2693675 1269477, 2693614 1269644, 2693007 1269669, 2693022 1269196, 2692681 1269118, 2692635 1268728, 2692473 1268736, 2692039 1269407, 2692324 1269666, 2692123 1269886, 2692260 1270109, 2692090 1270458, 2691733 1270696, 2691791 1271349, 2691735 1271489, 2691058 1271326, 2690527 1271291, 2690492 1271451, 2690364.3161999993 1271867.9050000012, 2691125 1271625, 2691285 1272415, 2692105 1273685, 2692625 1273555))"
31,Henggart,1616,724,44.8,715,522,193,73.01,Henggart,102,1,"POLYGON ((2694002 1267599, 2693722 1267677, 2693566 1267296, 2693426 1267384, 2693182 1267898, 2693233 1268225, 2693119 1268156, 2692919 1268464, 2692628 1268424, 2692475 1268658, 2692473 1268736, 2692635 1268728, 2692681 1269118, 2693022 1269196, 2693007 1269669, 2693614 1269644, 2693675 1269477, 2694567 1269587, 2694830 1269244, 2694990 1269011, 2694778 1268749, 2694396 1268798, 2694483 1268259, 2694275 1268252, 2694309 1267709, 2694002 1267599))"
