GMDNR,GMDNAME_x,Stimmberechtigte,Abgegebene Stimmen,Beteiligung in %,Gültige Stimmzettel,Ja,Nein,Ja in %,GMDNAME_y,BZNR,KTNR,geometry
322,Auswil,380,136,35.79,131,82,49,62.6,Auswil,244,2,"POLYGON ((2630910 1222020, 2631220 1221784, 2631367 1221868, 2631545 1221610, 2631168 1221058, 2631204 1220020, 2630910 1219738, 2630495 1219723, 2630245 1219355, 2629575 1219208, 2629347 1219557, 2629493 1219896, 2629211 1220459, 2629425 1220692, 2629228 1221107, 2629070 1220992, 2628544 1221144, 2628305 1220975, 2628086 1221268, 2627868 1221017, 2627547 1221112, 2627858 1221588, 2628238 1221323, 2628478 1221583, 2629045 1221208, 2629935 1221238, 2630353 1221865, 2630910 1222020))"
323,Bannwil,515,177,34.37,177,111,66,62.71,Bannwil,244,2,"POLYGON ((2623264 1233128, 2623476 1232809, 2624177 1233027, 2624273 1232713, 2623405 1232585, 2623085 1231745, 2622495 1231435, 2622253 1230910, 2621045 1230675, 2620867 1230812, 2620970 1231065, 2620410 1231438, 2621060 1231755, 2620872 1232155, 2621392 1232412, 2621698 1232965, 2621848 1232894, 2622012 1233125, 2623264 1233128))"
324,Bleienbach,563,204,36.23,202,103,99,50.99,Bleienbach,244,2,"POLYGON ((2624031 1223782, 2623652 1223708, 2623530 1223849, 2623734 1223991, 2623548 1224168, 2623258 1224594, 2622823 1224568, 2622658 1224853, 2623019 1225065, 2622700 1225703, 2623468 1226578, 2624043 1226848, 2624775 1227575, 2625413 1227815, 2625808 1227475, 2625913 1227715, 2626128 1227525, 2625478 1227120, 2624950 1227093, 2624558 1226570, 2625325 1226065, 2624870 1225673, 2624963 1225388, 2624708 1224711, 2624339 1224485, 2624249 1223787, 2624031 1223782))"
325,Busswil bei Melchnau,177,72,40.68,72,36,36,50,Busswil bei Melchnau,244,2,"POLYGON ((2628240 1225868, 2628905 1226495, 2629193 1227085, 2629363 1227038, 2629762 1227396, 2630237 1227304, 2630725 1227063, 2630802 1226803, 2630627 1226878, 2630485 1226618, 2630932 1226550, 2630939 1226396, 2630338 1226298, 2630335 1225992, 2629558 1225518, 2628922 1225354, 2628631 1225731, 2628240 1225868))"
326,Gondiswil,609,174,28.57,173,101,72,58.38,Gondiswil,244,2,"POLYGON ((2633955 1219811, 2632969 1219408, 2632643 1219580, 2632747 1219830, 2632463 1219783, 2632350 1220210, 2631724 1219841, 2631204 1220020, 2631168 1221058, 2631545 1221610, 2631367 1221868, 2631220 1221784, 2630910 1222020, 2630670 1222635, 2631168 1222627, 2631148 1222353, 2631389 1222598, 2631548 1222798, 2631798 1222765, 2632260 1223380, 2632125 1223795, 2633191 1223964, 2633136 1223012, 2633588 1221901, 2634231 1221162, 2634223 1220228, 2633975 1220175, 2633955 1219811))"
329,Langenthal,10520,3475,33.03,3458,2675,783,77.36,Langenthal,244,2,"POLYGON ((2627222 1231532, 2627320 1231252, 2627837 1231525, 2628752 1230880, 2628800 1230567, 2629062 1230645, 2629105 1230000, 2629413 1229883, 2629570 1229533, 2629873 1229465, 2630151 1229671, 2630207 1230370, 2630921 1229624, 2631096 1228822, 2631635 1227862, 2630725 1227063, 2630237 1227304, 2629762 1227396, 2629363 1227038, 2629193 1227085, 2628905 1226495, 2628726 1226704, 2628245 1226655, 2628315 1227075, 2628104 1227700, 2627668 1227853, 2627376 1227670, 2626888 1227718, 2626748 1227898, 2626583 1227723, 2626093 1227833, 2626128 1227525, 2625913 1227715, 2625808 1227475, 2625413 1227815, 2624775 1227575, 2624551 1227810, 2624928 1228068, 2624850.210000001 1229103.5088, 2624473.8988000005 1229934.5274999999, 2624977 1230250, 2625652 1230672, 2626671.0150000006 1231924.3786999993, 2626879 1231562, 2627222 1231532))"
331,Lotzwil,1747,590,33.77,582,438,144,75.26,Lotzwil,244,2,"POLYGON ((2626383.281300001 1224750.1524999999, 2626045 1225925, 2625760 1226123, 2625325 1226065, 2624558 1226570, 2624950 1227093, 2625478 1227120, 2626128 1227525, 2626093 1227833, 2626583 1227723, 2626748 1227898, 2626888 1227718, 2627376 1227670, 2627668 1227853, 2628104 1227700, 2628315 1227075, 2628245 1226655, 2628726 1226704, 2628905 1226495, 2628240 1225868, 2627540 1226036, 2627239 1226320, 2627191 1226096, 2626927 1226136, 2626875 1225175, 2626565 1225135, 2626383.281300001 1224750.1524999999))"
332,Madiswil,2608,944,36.2,931,621,310,66.7,Madiswil,244,2,"POLYGON ((2626318 1219930, 2625998 1220334, 2626324 1221875, 2625891 1222036, 2625305 1221978, 2625007 1221734, 2624322 1220566, 2623780 1220372, 2623539 1220486, 2623460 1220830, 2623420 1221440, 2623750 1221775, 2623753 1222168, 2624053 1222408, 2624210 1222898, 2624993 1223093, 2625330 1223678, 2625880 1223978, 2625880 1224450, 2626420 1224622, 2626383.281300001 1224750.1524999999, 2626565 1225135, 2626875 1225175, 2626927 1226136, 2627191 1226096, 2627239 1226320, 2627540 1226036, 2628240 1225868, 2628631 1225731, 2628922 1225354, 2629558 1225518, 2629828 1225133, 2629977 1225198, 2629950 1224318, 2629776 1223608, 2629929 1223216, 2630387 1222887, 2630180 1222729, 2630670 1222635, 2630910 1222020, 2630353 1221865, 2629935 1221238, 2629045 1221208, 2628478 1221583, 2628238 1221323, 2627858 1221588, 2627547 1221112, 2627322 1220966, 2627483 1220890, 2626939 1220623, 2627033 1220483, 2626733 1219945, 2626318 1219930))"
333,Melchnau,1105,333,30.14,330,228,102,69.09,Melchnau,244,2,"POLYGON ((2631389 1222598, 2631105 1222928, 2631351 1224107, 2631025 1224090, 2630843 1224305, 2630233 1224083, 2629950 1224318, 2629977 1225198, 2629828 1225133, 2629558 1225518, 2630335 1225992, 2630338 1226298, 2630939 1226396, 2630932 1226550, 2630485 1226618, 2630627 1226878, 2630802 1226803, 2630725 1227063, 2631635 1227862, 2631905 1227635, 2631953 1226877, 2633064 1225934, 2633485 1225139, 2633652 1224734, 2633191 1223964, 2632125 1223795, 2632260 1223380, 2631798 1222765, 2631548 1222798, 2631389 1222598))"
335,Oeschenbach,205,54,26.34,50,38,12,76,Oeschenbach,244,2,"POLYGON ((2622168 1218108, 2622731 1218898, 2622802 1218652, 2623398 1218838, 2623543 1218525, 2623858 1218588, 2624350 1218293, 2624340 1217573, 2624538 1217550, 2624065 1216503, 2623638 1216645, 2623325 1216460, 2622990 1216663, 2622990 1217225, 2622193 1217288, 2621729 1217098, 2622168 1218108))"
336,Reisiswil,152,44,28.95,44,26,18,59.09,Reisiswil,244,2,"POLYGON ((2629950 1224318, 2630233 1224083, 2630843 1224305, 2631025 1224090, 2631351 1224107, 2631105 1222928, 2631389 1222598, 2631148 1222353, 2631168 1222627, 2630670 1222635, 2630180 1222729, 2630387 1222887, 2629929 1223216, 2629776 1223608, 2629950 1224318))"
337,Roggwil (BE),2850,882,30.95,879,639,240,72.7,Roggwil (BE),244,2,"POLYGON ((2629465 1233715, 2629278 1233553, 2629461 1233362, 2629340 1232870, 2630294 1231576, 2630128 1231060, 2630207 1230370, 2630151 1229671, 2629873 1229465, 2629570 1229533, 2629413 1229883, 2629105 1230000, 2629062 1230645, 2628800 1230567, 2628752 1230880, 2627837 1231525, 2627320 1231252, 2627222 1231532, 2626879 1231562, 2626671.0150000006 1231924.3786999993, 2626841.208799999 1232681.9913000017, 2628286 1233450, 2629465 1233715))"
338,Rohrbach,1215,337,27.74,333,202,131,60.66,Rohrbach,244,2,"POLYGON ((2629293 1219033, 2628896 1219374, 2627460 1219349, 2626733 1219945, 2627033 1220483, 2626939 1220623, 2627483 1220890, 2627322 1220966, 2627547 1221112, 2627868 1221017, 2628086 1221268, 2628305 1220975, 2628544 1221144, 2629070 1220992, 2629228 1221107, 2629425 1220692, 2629211 1220459, 2629493 1219896, 2629347 1219557, 2629575 1219208, 2629293 1219033))"
339,Rohrbachgraben,328,110,33.54,110,77,33,70,Rohrbachgraben,244,2,"POLYGON ((2626660 1218930, 2626790 1219265, 2626380 1219515, 2626318 1219930, 2626733 1219945, 2627460 1219349, 2628896 1219374, 2629293 1219033, 2628893 1218364, 2628848 1217900, 2627975 1216588, 2628151 1216257, 2627615 1216190, 2627555 1216598, 2626435 1216393, 2626541 1217027, 2626355 1217118, 2626741 1217617, 2626706 1218193, 2626849 1218320, 2626660 1218930))"
340,Rütschelen,431,145,33.64,143,101,42,70.63,Rütschelen,244,2,"POLYGON ((2624031 1223782, 2624249 1223787, 2624339 1224485, 2624708 1224711, 2624963 1225388, 2624870 1225673, 2625325 1226065, 2625760 1226123, 2626045 1225925, 2626383.281300001 1224750.1524999999, 2626420 1224622, 2625880 1224450, 2625880 1223978, 2625330 1223678, 2624993 1223093, 2624210 1222898, 2624031 1223782))"
341,Schwarzhäusern,422,138,32.7,138,86,52,62.32,Schwarzhäusern,244,2,"POLYGON ((2625968 1233545, 2625685 1233255, 2625045 1233255, 2624614.961199999 1232939.4100000001, 2624462 1233132, 2624177 1233027, 2623476 1232809, 2623264 1233128, 2624210 1234007, 2624092 1234180, 2624685 1235140, 2625407 1235224, 2625524 1234548, 2626222 1233989, 2625968 1233545))"
342,Thunstetten,2319,659,28.42,652,443,209,67.94,Thunstetten,244,2,"POLYGON ((2621423 1228710, 2622147 1229458, 2622350 1229975, 2622600 1229844, 2623102 1230212, 2623932 1230120, 2624007 1230260, 2624207 1230098, 2624605 1230197, 2624655 1230460, 2624977 1230250, 2624473.8988000005 1229934.5274999999, 2624850.210000001 1229103.5088, 2624928 1228068, 2624551 1227810, 2624775 1227575, 2624043 1226848, 2623468 1226578, 2622700 1225703, 2622100 1226918, 2622309 1228195, 2622197 1228532, 2621517 1228273, 2621423 1228710))"
344,Ursenbach,729,212,29.08,207,119,88,57.49,Ursenbach,244,2,"POLYGON ((2626660 1218930, 2625849 1219297, 2625952 1219035, 2625728 1219123, 2625478 1218853, 2625046 1218838, 2624973 1217858, 2624538 1217550, 2624340 1217573, 2624350 1218293, 2623858 1218588, 2623543 1218525, 2623398 1218838, 2622802 1218652, 2622731 1218898, 2622412 1219503, 2623039 1220218, 2622893 1220630, 2623143 1220565, 2623460 1220830, 2623539 1220486, 2623780 1220372, 2624322 1220566, 2625007 1221734, 2625305 1221978, 2625891 1222036, 2626324 1221875, 2625998 1220334, 2626318 1219930, 2626380 1219515, 2626790 1219265, 2626660 1218930))"
345,Wynau,1081,315,29.14,303,192,111,63.37,Wynau,244,2,"POLYGON ((2625968 1233545, 2626222 1233989, 2627485 1235305, 2627705 1235295, 2627825 1234895, 2628425 1234585, 2629233.5500000007 1235024.2237999998, 2629445 1234897, 2629389 1234608, 2629589 1234370, 2629465 1233715, 2628286 1233450, 2626841.208799999 1232681.9913000017, 2626672 1233045, 2625968 1233545))"
953,Eriswil,1118,259,23.17,258,163,95,63.18,Eriswil,244,2,"POLYGON ((2633439 1214290, 2633306 1213470, 2632853 1212625, 2633086 1212408, 2632505 1211455, 2632654 1210714, 2632361 1211045, 2632012 1210928, 2631780 1211060, 2631505 1211493, 2631133 1211410, 2630283 1211713, 2630600 1213408, 2630353 1213708, 2630483 1214078, 2630249 1214725, 2630498 1214872, 2630838 1215633, 2633313 1215290, 2633555 1215538, 2633660 1215377, 2633405 1214661, 2633556 1214598, 2633318 1214376, 2633439 1214290))"
954,Huttwil,3614,1098,30.38,1091,779,312,71.4,Huttwil,244,2,"POLYGON ((2629293 1219033, 2629575 1219208, 2630245 1219355, 2630495 1219723, 2630910 1219738, 2631204 1220020, 2631724 1219841, 2632350 1220210, 2632463 1219783, 2632747 1219830, 2632643 1219580, 2632969 1219408, 2633023 1219254, 2632609 1218885, 2632576 1218534, 2632818 1218527, 2632636 1217979, 2633128 1217725, 2632969 1217217, 2633220 1216835, 2633023 1216430, 2633453 1216198, 2633326 1215820, 2633555 1215538, 2633313 1215290, 2630838 1215633, 2630084 1215745, 2629825 1215995, 2629704 1215756, 2628276 1215982, 2628151 1216257, 2627975 1216588, 2628848 1217900, 2628893 1218364, 2629293 1219033))"
959,Walterswil (BE),457,120,26.26,119,65,54,54.62,Walterswil (BE),244,2,"POLYGON ((2626660 1218930, 2626849 1218320, 2626706 1218193, 2626741 1217617, 2626355 1217118, 2626541 1217027, 2626435 1216393, 2625935 1216173, 2625995 1215980, 2625543 1215920, 2625376 1215424, 2624874 1215175, 2624436 1216011, 2623714 1215916, 2623388 1215540, 2622990 1215815, 2622620 1215163, 2622505 1215150, 2622646 1215660, 2622365 1216071, 2622780 1216241, 2622990 1216663, 2623325 1216460, 2623638 1216645, 2624065 1216503, 2624538 1217550, 2624973 1217858, 2625046 1218838, 2625478 1218853, 2625728 1219123, 2625952 1219035, 2625849 1219297, 2626660 1218930))"
960,Wyssachen,972,254,26.13,249,149,100,59.84,Wyssachen,244,2,"POLYGON ((2627182 1212392, 2628040 1213150, 2627563 1213438, 2627685 1213813, 2627473 1214410, 2627515 1214860, 2628105 1214888, 2627963 1215443, 2628276 1215982, 2629704 1215756, 2629825 1215995, 2630084 1215745, 2630838 1215633, 2630498 1214872, 2630249 1214725, 2630483 1214078, 2630353 1213708, 2630600 1213408, 2630283 1211713, 2628880 1211783, 2628328 1211413, 2627182 1212392))"
971,Attiswil,1126,377,33.48,369,248,121,67.21,Attiswil,244,2,"POLYGON ((2611030 1235702, 2612284 1235982, 2612565 1235685, 2612437 1235495, 2612750 1235266, 2612517 1235035, 2612553 1234552, 2613710 1234522, 2614152 1234743, 2614315 1234112, 2614357 1233862, 2613940 1233725, 2614260 1233259, 2614586 1233291, 2614617 1232842, 2614355 1232492, 2614455 1232290, 2614102 1232302, 2614262 1231707, 2614105 1231555, 2613427 1231426, 2612921 1232083, 2612702 1232035, 2612547 1232449, 2612381 1232385, 2612007 1232692, 2611990 1233327, 2611792 1234767, 2611730 1235047, 2611030 1235702))"
972,Berken,42,22,52.38,22,12,10,54.55,Berken,244,2,"POLYGON ((2621045 1230675, 2620350 1229747, 2619571 1230415, 2619227 1230460, 2619912 1231292, 2620867 1230812, 2621045 1230675))"
973,Bettenhausen,543,185,34.07,181,121,60,66.85,Bettenhausen,244,2,"POLYGON ((2619795.25 1223394.6999999993, 2619402 1223477, 2619241.539999999 1223713.8236999996, 2619407 1224470, 2619578 1224552, 2619470 1224820, 2619868 1224895, 2619880 1225107, 2620035 1224913, 2620110 1225285, 2621113 1225775, 2621428 1225357, 2621385 1225020, 2621799 1224585, 2621508 1224467, 2621539 1224147, 2621140 1223898, 2621115 1223520, 2620435 1223036, 2620045 1223545, 2619795.25 1223394.6999999993))"
975,Farnern,175,53,30.29,53,36,17,67.92,Farnern,244,2,"POLYGON ((2611030 1235702, 2610700 1236170, 2612728 1236633, 2612820 1236085, 2613891 1236202, 2614067 1235497, 2614832 1234829, 2614410 1234612, 2614152 1234743, 2613710 1234522, 2612553 1234552, 2612517 1235035, 2612750 1235266, 2612437 1235495, 2612565 1235685, 2612284 1235982, 2611030 1235702))"
976,Graben,263,85,32.32,85,43,42,50.59,Graben,244,2,"POLYGON ((2621423 1228710, 2620508 1228675, 2620223 1228833, 2620530 1229531, 2620350 1229747, 2621045 1230675, 2622253 1230910, 2622472 1230747, 2622350 1229975, 2622147 1229458, 2621423 1228710))"
977,Heimenhausen,873,277,31.73,274,198,76,72.26,Heimenhausen,244,2,"POLYGON ((2618510 1227147, 2618392 1227690, 2617919 1228020, 2617860 1228220, 2618086 1228310, 2617681 1229116, 2618055 1229322, 2618350 1229482, 2618575 1229362, 2618400 1229640, 2618483 1229870, 2619227 1230460, 2619571 1230415, 2620350 1229747, 2620530 1229531, 2620223 1228833, 2620508 1228675, 2619507 1227580, 2619303 1227093, 2618510 1227147))"
979,Herzogenbuchsee,4871,1664,34.16,1658,1226,432,73.94,Herzogenbuchsee,244,2,"POLYGON ((2620508 1228675, 2621423 1228710, 2621517 1228273, 2622197 1228532, 2622309 1228195, 2622100 1226918, 2621933 1226055, 2621113 1225775, 2620110 1225285, 2620035 1224913, 2619880 1225107, 2619868 1224895, 2619470 1224820, 2619578 1224552, 2619407 1224470, 2619241.539999999 1223713.8236999996, 2618887.9587000012 1223854.1336999983, 2618950 1224000, 2618646.625 1223943.932500001, 2618405 1223512, 2618267 1223597, 2617746 1224169, 2617805 1224607, 2618120 1224505, 2618607 1224975, 2618532 1225668, 2619572 1225892, 2619550 1226770, 2619471 1227097, 2619303 1227093, 2619507 1227580, 2620508 1228675))"
980,Inkwil,533,191,35.83,186,106,80,56.99,Inkwil,244,2,"POLYGON ((2617885 1226691, 2617660 1227149, 2617469 1227036, 2616994 1227556, 2616955 1227810, 2615825 1227890, 2616107 1228435, 2615951 1228798, 2617681 1229116, 2618086 1228310, 2617860 1228220, 2617919 1228020, 2618392 1227690, 2618510 1227147, 2618030 1226957, 2617885 1226691))"
981,Niederbipp,3183,863,27.11,860,536,324,62.33,Niederbipp,244,2,"POLYGON ((2619840 1237335, 2620690 1235942, 2620912 1236259, 2621658 1235450, 2621655 1235082, 2622255 1234295, 2622680 1234382, 2623118 1234077, 2623603 1234275, 2624092 1234180, 2624210 1234007, 2623264 1233128, 2622012 1233125, 2621848 1232894, 2621698 1232965, 2621392 1232412, 2620872 1232155, 2620082 1233500, 2619705 1233188, 2619705 1233331, 2619522 1233205, 2619004.0025000013 1233598.9662000015, 2618633.246199999 1234823.5062999986, 2618244.2124999985 1234507.5799999982, 2618170.2712000012 1234667.4987999983, 2618374.5988 1234750.5925000012, 2617491 1235759, 2616825 1235262, 2616317 1235426, 2615855 1236255, 2615585 1236362, 2615660 1236702, 2615886 1236831, 2616126 1236918, 2616784 1237394, 2618019 1237607, 2618628 1238145, 2618905 1237755, 2619840 1237335))"
982,Niederönz,1240,455,36.69,450,339,111,75.33,Niederönz,244,2,"POLYGON ((2617885 1226691, 2618030 1226957, 2618510 1227147, 2619303 1227093, 2619471 1227097, 2619550 1226770, 2619572 1225892, 2618532 1225668, 2618607 1224975, 2618120 1224505, 2617805 1224607, 2618136 1225789, 2617617 1225987, 2617885 1226691))"
983,Oberbipp,1224,432,35.29,430,279,151,64.88,Oberbipp,244,2,"POLYGON ((2617491 1235759, 2618374.5988 1234750.5925000012, 2618170.2712000012 1234667.4987999983, 2618244.2124999985 1234507.5799999982, 2618633.246199999 1234823.5062999986, 2619004.0025000013 1233598.9662000015, 2619522 1233205, 2619705 1233331, 2619705 1233188, 2620082 1233500, 2620872 1232155, 2621060 1231755, 2620410 1231438, 2619552 1232342, 2619295 1232330, 2618780 1232770, 2618120 1233015, 2617695 1232720, 2617195 1232765, 2616827 1233212, 2616677 1233127, 2616478 1233741, 2616336 1233649, 2616075 1234100, 2615740 1234265, 2615592 1234477, 2615690 1234782, 2616195 1235035, 2616317 1235426, 2616825 1235262, 2617491 1235759))"
985,Ochlenberg,477,180,37.74,178,104,74,58.43,Ochlenberg,244,2,"POLYGON ((2622168 1218108, 2622120 1218075, 2621878 1218353, 2621868 1218848, 2621683 1218805, 2621615 1219065, 2621726 1220198, 2621170 1220526, 2620698 1221430, 2620213 1222018, 2619887 1222135, 2620435 1223036, 2621115 1223520, 2621425 1223617, 2621547 1223497, 2621368 1223103, 2621878 1222790, 2622329 1223193, 2622242 1223366, 2622546 1223837, 2622690 1223750, 2623548 1224168, 2623734 1223991, 2623530 1223849, 2623652 1223708, 2624031 1223782, 2624210 1222898, 2624053 1222408, 2623753 1222168, 2623750 1221775, 2623420 1221440, 2623460 1220830, 2623143 1220565, 2622893 1220630, 2623039 1220218, 2622412 1219503, 2622731 1218898, 2622168 1218108))"
987,Rumisberg,391,146,37.34,145,80,65,55.17,Rumisberg,244,2,"POLYGON ((2614315 1234112, 2614152 1234743, 2614410 1234612, 2614832 1234829, 2614067 1235497, 2613891 1236202, 2612820 1236085, 2612728 1236633, 2613191 1236691, 2615886 1236831, 2615660 1236702, 2615585 1236362, 2615855 1236255, 2616317 1235426, 2616195 1235035, 2615690 1234782, 2615592 1234477, 2615740 1234265, 2615532 1234405, 2614970 1233982, 2614315 1234112))"
988,Seeberg,1300,460,35.38,455,292,163,64.18,Seeberg,244,2,"POLYGON ((2617604 1219517, 2616757 1220055, 2616097 1220045, 2615890 1220292, 2616015 1220600, 2616447 1220912, 2616230 1221115, 2616212 1221482, 2616707 1221772, 2616185 1222275, 2616085 1222945, 2616245 1223522, 2616786 1224178, 2617746 1224169, 2618267 1223597, 2617880 1222655, 2617991 1222536, 2618427 1222670, 2619070 1222464, 2619364 1223091, 2619526 1223010, 2619795.25 1223394.6999999993, 2620045 1223545, 2620435 1223036, 2619887 1222135, 2620213 1222018, 2620698 1221430, 2621170 1220526, 2621726 1220198, 2621615 1219065, 2621683 1218805, 2621868 1218848, 2621878 1218353, 2622120 1218075, 2621713 1217940, 2621325 1218233, 2620777 1219067, 2620560 1219802, 2620094 1220093, 2620012 1220536, 2618917 1220208, 2618607 1219707, 2618013 1219724, 2617604 1219517))"
989,Thörigen,865,298,34.45,295,192,103,65.08,Thörigen,244,2,"POLYGON ((2622100 1226918, 2622700 1225703, 2623019 1225065, 2622658 1224853, 2622823 1224568, 2623258 1224594, 2623548 1224168, 2622690 1223750, 2622546 1223837, 2622242 1223366, 2622329 1223193, 2621878 1222790, 2621368 1223103, 2621547 1223497, 2621425 1223617, 2621115 1223520, 2621140 1223898, 2621539 1224147, 2621508 1224467, 2621799 1224585, 2621385 1225020, 2621428 1225357, 2621113 1225775, 2621933 1226055, 2622100 1226918))"
990,Walliswil bei Niederbipp,171,64,37.43,63,40,23,63.49,Walliswil bei Niederbipp,244,2,"POLYGON ((2619295 1232330, 2619552 1232342, 2620410 1231438, 2620970 1231065, 2620867 1230812, 2619912 1231292, 2618348 1231648, 2618261 1231934, 2618535 1232285, 2618795 1232345, 2619262 1232077, 2619295 1232330))"
991,Walliswil bei Wangen,505,166,32.87,164,99,65,60.37,Walliswil bei Wangen,244,2,"POLYGON ((2617585 1230295, 2617904 1230492, 2617706 1231347, 2617880 1231775, 2618348 1231648, 2619912 1231292, 2619227 1230460, 2618483 1229870, 2618400 1229640, 2618575 1229362, 2618350 1229482, 2618055 1229322, 2617585 1230295))"
992,Wangen an der Aare,1651,534,32.34,534,363,171,67.98,Wangen an der Aare,244,2,"POLYGON ((2615272 1230126, 2615149 1230319, 2615527 1230552, 2615288 1230982, 2614907 1230714, 2614798 1230874, 2614562 1230648, 2614453 1230835, 2614198 1230625, 2613967 1231033, 2613818 1230947, 2613652 1230936, 2613427 1231426, 2614105 1231555, 2615076 1231672, 2615321 1231995, 2615411 1231870, 2616172 1232085, 2616422 1231890, 2617194 1231994, 2617427 1231762, 2617880 1231775, 2617706 1231347, 2617904 1230492, 2617585 1230295, 2617137 1230370, 2616414 1230158, 2616093 1230312, 2616104 1230645, 2615272 1230126))"
993,Wangenried,345,122,35.36,122,76,46,62.3,Wangenried,244,2,"POLYGON ((2615272 1230126, 2616104 1230645, 2616093 1230312, 2616414 1230158, 2617137 1230370, 2617585 1230295, 2618055 1229322, 2617681 1229116, 2615951 1228798, 2615895 1228925, 2615707 1229332, 2615890 1229780, 2615272 1230126))"
995,Wiedlisbach,1672,479,28.65,473,329,144,69.56,Wiedlisbach,244,2,"POLYGON ((2614315 1234112, 2614970 1233982, 2615532 1234405, 2615740 1234265, 2616075 1234100, 2616336 1233649, 2616478 1233741, 2616677 1233127, 2616827 1233212, 2617195 1232765, 2617695 1232720, 2618120 1233015, 2618780 1232770, 2619295 1232330, 2619262 1232077, 2618795 1232345, 2618535 1232285, 2618261 1231934, 2618348 1231648, 2617880 1231775, 2617427 1231762, 2617194 1231994, 2616422 1231890, 2616172 1232085, 2615411 1231870, 2615321 1231995, 2615076 1231672, 2614105 1231555, 2614262 1231707, 2614102 1232302, 2614455 1232290, 2614355 1232492, 2614617 1232842, 2614586 1233291, 2614260 1233259, 2613940 1233725, 2614357 1233862, 2614315 1234112))"
401,Aefligen,840,257,30.6,255,160,95,62.75,Aefligen,245,2,"POLYGON ((2607355 1217315, 2607283 1217653, 2607466 1217662, 2608314 1216765, 2609418 1216146, 2609308 1215680, 2608760 1215122, 2608066 1215557, 2607804 1216318, 2608052 1216606, 2607530 1216963, 2607355 1217315))"
402,Alchenstorf,462,137,29.65,137,94,43,68.61,Alchenstorf,245,2,"POLYGON ((2617604 1219517, 2617594 1219336, 2616300 1218270, 2616222 1217884, 2616494 1217620, 2615178 1217975, 2615165 1218367, 2614785 1218850, 2614572 1218645, 2613870 1218870, 2613700 1219232, 2613903 1219519, 2613682 1219671, 2614115 1220292, 2614687 1220547, 2615410 1220341, 2615609 1220690, 2616015 1220600, 2615890 1220292, 2616097 1220045, 2616757 1220055, 2617604 1219517))"
404,Burgdorf,11767,3996,33.96,3969,3110,859,78.36,Burgdorf,245,2,"POLYGON ((2615538 1208740, 2615258 1208528, 2615005 1208655, 2614222.1136999987 1210020.039999999, 2613498 1210387, 2613214 1210056, 2612416 1209996, 2612416 1209318, 2612016 1209370, 2611138 1209008, 2610990 1208724, 2610678 1208745, 2610498 1208954, 2610689 1209288, 2610525 1209451, 2610768 1209859, 2610615 1210463, 2610940 1210738, 2611458 1210173, 2611758 1210240, 2612504 1211206, 2612395 1211535, 2612120 1211568, 2612168 1211695, 2611545 1211728, 2612247 1213179, 2612473 1213285, 2612643 1213528, 2614028 1212698, 2614138 1212909, 2614315 1212736, 2614845 1213460, 2614549 1213956, 2614777 1213910, 2615083 1214348, 2614941 1214984, 2615628 1214653, 2615820 1214493, 2615558 1214200, 2615485 1213928, 2615650 1213733, 2615453 1213390, 2615578 1213248, 2615725 1213555, 2616102 1213051, 2616410 1213128, 2615393 1211463, 2615640 1211238, 2615366 1210144, 2615698 1209968, 2615203 1209310, 2615538 1208740))"
405,Ersigen,1644,599,36.44,597,380,217,63.65,Ersigen,245,2,"POLYGON ((2611432 1219140, 2612053 1219032, 2612827 1219375, 2613237 1219142, 2613330 1219290, 2613700 1219232, 2613870 1218870, 2614572 1218645, 2614785 1218850, 2615165 1218367, 2615178 1217975, 2615130 1217809, 2614596 1217770, 2614520 1217155, 2615183 1216825, 2615168 1216405, 2614935 1216388, 2614725 1215878, 2614852 1215336, 2614093 1214932, 2613676 1214938, 2613173 1215228, 2613190 1215067, 2611842 1214926, 2610409 1216746, 2610363 1217154, 2610458 1217622, 2610735 1217782, 2610855 1218456, 2611010 1218377, 2610953 1217915, 2611122 1218067, 2611548 1217940, 2611781 1218257, 2611442 1218583, 2611432 1219140))"
406,Hasle bei Burgdorf,2600,695,26.73,688,465,223,67.59,Hasle bei Burgdorf,245,2,"POLYGON ((2615538 1208740, 2615752 1208462, 2615875 1207885, 2617046 1206922, 2618578 1206041, 2618344 1205791, 2618552 1205042, 2618430 1204508, 2618665 1204335, 2619076 1204103, 2618780 1203481, 2618235 1203113, 2618050 1203248, 2618130 1203420, 2617743 1203483, 2617438 1203163, 2617079 1203314, 2617336 1203710, 2616951 1203795, 2616991 1203596, 2616643 1203363, 2616300 1203490, 2616130 1203298, 2615944 1203690, 2615684 1203383, 2615365 1203535, 2614878 1203440, 2614490 1203986, 2613560 1203255, 2613403 1203366, 2612495 1202897, 2612482 1203216, 2612225 1203093, 2611645 1203723, 2611790 1204148, 2612283 1204123, 2613101 1204422, 2613205 1204636, 2612558 1204815, 2612865 1205195, 2613188 1205878, 2613890 1206100, 2613940 1206375, 2613670 1206628, 2613873 1207213, 2614515 1207615, 2614848 1207698, 2615018 1207555, 2614860 1208203, 2615258 1208528, 2615538 1208740))"
